class_id,representative,class_size,elements,units_used,theoretical_case,notes
1,1,8,1; 1/2; 1/4; 1/8; 1/16; 1/32; 2; 4,1/2; 1/4; 1/8; 1/16; 1/32; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
2,3,6,3; 3/2; 3/4; 3/8; 3/16; 3/32,1/2; 1/4; 1/8; 1/16; 1/32; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
3,5,6,5; 5/2; 5/4; 5/8; 5/16; 5/32,1/2; 1/4; 1/8; 1/16; 1/32; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
4,7/2,5,7/2; 7/4; 7/8; 7/16; 7/32,1/2; 1/4; 1/8; 1/16; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
5,9/2,5,9/2; 9/4; 9/8; 9/16; 9/32,1/2; 1/4; 1/8; 1/16; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
6,11/2,5,11/2; 11/4; 11/8; 11/16; 11/32,1/2; 1/4; 1/8; 1/16; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
7,13/4,4,13/4; 13/8; 13/16; 13/32,1/2; 1/4; 1/8; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
8,15/4,4,15/4; 15/8; 15/16; 15/32,1/2; 1/4; 1/8; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
9,17/4,4,17/4; 17/8; 17/16; 17/32,1/2; 1/4; 1/8; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
10,19/4,4,19/4; 19/8; 19/16; 19/32,1/2; 1/4; 1/8; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
11,21/4,4,21/4; 21/8; 21/16; 21/32,1/2; 1/4; 1/8; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
12,23/4,4,23/4; 23/8; 23/16; 23/32,1/2; 1/4; 1/8; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
13,25/8,3,25/8; 25/16; 25/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
14,27/8,3,27/8; 27/16; 27/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
15,29/8,3,29/8; 29/16; 29/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
16,31/8,3,31/8; 31/16; 31/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
17,33/8,3,33/8; 33/16; 33/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
18,35/8,3,35/8; 35/16; 35/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
19,37/8,3,37/8; 37/16; 37/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
20,39/8,3,39/8; 39/16; 39/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
21,41/8,3,41/8; 41/16; 41/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
22,43/8,3,43/8; 43/16; 43/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
23,45/8,3,45/8; 45/16; 45/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
24,47/8,3,47/8; 47/16; 47/32,1/2; 1/4; 2; 4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
25,49/16,2,49/16; 49/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
26,51/16,2,51/16; 51/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
27,53/16,2,53/16; 53/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
28,55/16,2,55/16; 55/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
29,57/16,2,57/16; 57/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
30,59/16,2,59/16; 59/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
31,61/16,2,61/16; 61/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
32,63/16,2,63/16; 63/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
33,65/16,2,65/16; 65/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
34,67/16,2,67/16; 67/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
35,69/16,2,69/16; 69/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
36,71/16,2,71/16; 71/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
37,73/16,2,73/16; 73/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
38,75/16,2,75/16; 75/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
39,77/16,2,77/16; 77/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
40,79/16,2,79/16; 79/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
41,81/16,2,81/16; 81/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
42,83/16,2,83/16; 83/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
43,85/16,2,85/16; 85/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
44,87/16,2,87/16; 87/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
45,89/16,2,89/16; 89/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
46,91/16,2,91/16; 91/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
47,93/16,2,93/16; 93/32,1/2; 2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
48,95/32,1,95/32,1,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
49,97/32,1,97/32,1,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
50,99/32,1,99/32,1,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
51,101/32,1,101/32,1,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
