class_id,representative,class_size,elements,units_used,theoretical_case,notes
1,1,41,1; 1/2; 1/3; 1/4; 1/6; 1/12; 1/16; 1/18; 1/24; 1/27; 1/36; 1/72; 1/96; 1/108; 1/144; 1/162; 1/216; 1/432; 1/648; 1/864; 1/972; 1/1296; 1/2592; 1/3888; 1/7776; 2; 2/9; 3; 3/2; 3/8; 3/32; 4/3; 4/243; 8/81; 9/4; 9/16; 16/27; 16/243; 27/8; 32/9; 32/81,1/2; 1/3; 1/4; 1/6; 1/12; 1/16; 1/18; 1/24; 1/27; 1/36; 1/72; 1/96; 1/108; 1/144; 1/162; 1/216; 1/432; 1/648; 1/864; 1/972; 1/1296; 1/2592; 1/3888; 1/7776; 2; 2/9; 3; 3/2; 3/8; 3/32; 4/3; 4/243; 8/81; 9/4; 9/16; 16/27; 16/243; 27/8; 32/9; 32/81,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
2,1,42,1; 1/2; 1/3; 1/4; 1/6; 1/12; 1/16; 1/18; 1/24; 1/27; 1/36; 1/72; 1/96; 1/108; 1/144; 1/162; 1/216; 1/432; 1/648; 1/864; 1/972; 1/1296; 1/2592; 1/3888; 1/7776; 2; 2/9; 3; 3/2; 3/8; 3/32; 4/3; 4/243; 8/81; 9/4; 9/16; 16/27; 16/243; 27/8; 32/9; 32/81; 64/27,1/2; 1/3; 1/4; 1/6; 1/12; 1/16; 1/18; 1/24; 1/27; 1/36; 1/72; 1/96; 1/108; 1/144; 1/162; 1/216; 1/432; 1/648; 1/864; 1/972; 1/1296; 1/2592; 1/3888; 1/7776; 2; 2/9; 3; 3/2; 3/8; 3/32; 4/3; 4/243; 8/81; 9/4; 9/16; 16/27; 16/243; 27/8; 32/9; 32/81,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
3,5/2,14,5/2; 5/4; 5/9; 5/12; 5/24; 5/54; 5/72; 5/144; 5/324; 5/432; 5/864; 5/1944; 5/2592; 10/3,1/2; 1/6; 1/12; 1/27; 1/36; 1/72; 1/162; 1/216; 1/432; 1/972; 1/1296; 2; 2/9; 4/3,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
4,5/2,16,5/2; 5/4; 5/9; 5/12; 5/24; 5/54; 5/72; 5/81; 5/144; 5/324; 5/432; 5/486; 5/864; 5/1944; 5/2592; 10/3,1/2; 1/6; 1/12; 1/27; 1/36; 1/72; 1/162; 1/216; 1/432; 1/972; 1/1296; 2; 2/9; 4/3,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
5,5/2,17,5/2; 5/4; 5/9; 5/12; 5/24; 5/54; 5/72; 5/81; 5/144; 5/324; 5/432; 5/486; 5/864; 5/1944; 5/2592; 10/3; 10/27,1/2; 1/6; 1/12; 1/27; 1/36; 1/72; 1/162; 1/216; 1/432; 1/972; 1/1296; 2; 2/9; 4/3,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
6,5/2,18,5/2; 5/4; 5/9; 5/12; 5/24; 5/54; 5/72; 5/81; 5/144; 5/324; 5/432; 5/486; 5/864; 5/1944; 5/2592; 10/3; 10/27; 20/9,1/2; 1/6; 1/12; 1/27; 1/36; 1/72; 1/162; 1/216; 1/432; 1/972; 1/1296; 2; 2/9; 4/3,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
7,7/2,19,7/2; 7/3; 7/6; 7/12; 7/18; 7/27; 7/36; 7/72; 7/108; 7/162; 7/216; 7/432; 7/648; 7/972; 7/1296; 7/2592; 7/3888; 7/7776; 14/9,1/3; 1/6; 1/18; 1/36; 1/108; 1/216; 1/648; 1/1296; 1/3888; 3; 3/2; 9/4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
8,7/2,20,7/2; 7/3; 7/6; 7/12; 7/18; 7/27; 7/36; 7/72; 7/108; 7/162; 7/216; 7/243; 7/432; 7/648; 7/972; 7/1296; 7/2592; 7/3888; 7/7776; 14/9,1/3; 1/6; 1/18; 1/36; 1/108; 1/216; 1/648; 1/1296; 1/3888; 3; 3/2; 9/4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
9,7/2,21,7/2; 7/3; 7/6; 7/12; 7/18; 7/27; 7/36; 7/72; 7/108; 7/162; 7/216; 7/243; 7/432; 7/648; 7/972; 7/1296; 7/2592; 7/3888; 7/7776; 14/9; 14/81,1/3; 1/6; 1/18; 1/36; 1/108; 1/216; 1/648; 1/1296; 1/3888; 3; 3/2; 9/4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
10,7/2,22,7/2; 7/3; 7/6; 7/12; 7/18; 7/27; 7/36; 7/72; 7/108; 7/162; 7/216; 7/243; 7/432; 7/648; 7/972; 7/1296; 7/2592; 7/3888; 7/7776; 14/9; 14/81; 28/27,1/3; 1/6; 1/18; 1/36; 1/108; 1/216; 1/648; 1/1296; 1/3888; 3; 3/2; 9/4; 27/8,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
11,11/8,12,11/8; 11/9; 11/32; 11/48; 11/54; 11/288; 11/324; 11/1944; 22/243; 33/16; 44/81; 99/32,1/4; 1/6; 1/36; 3/2; 9/4; 16/243; 32/81,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
12,11/9,7,11/9; 11/54; 11/324; 11/1944; 22/243; 44/81; 88/27,1/6; 1/36; 1/216; 3/8; 9/4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
13,11/9,7,11/9; 11/54; 11/324; 11/1944; 22/243; 44/81; 88/243,1/6; 1/36; 1/216; 9/4; 27/8,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
14,11/9,9,11/9; 11/54; 11/324; 11/1944; 22/243; 44/81; 88/27; 88/243; 176/81,1/6; 1/36; 1/216; 3/8; 9/4; 9/16; 27/8,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
15,13/4,13,13/4; 13/6; 13/12; 13/24; 13/36; 13/72; 13/144; 13/216; 13/432; 13/864; 13/1296; 13/2592; 13/7776,1/3; 1/6; 1/18; 1/36; 1/108; 1/216; 1/648; 3; 3/2,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
16,17/12,4,17/12; 17/72; 17/432; 17/2592,1/6; 1/36; 1/216,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
17,17/12,7,17/12; 17/16; 17/72; 17/96; 17/432; 17/2592; 51/32,1/6; 1/36; 1/216; 4/3,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
18,17/81,2,17/81; 17/486,1/6,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
19,17/81,3,17/81; 17/486; 34/27,1/6,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
20,17/81,4,17/81; 17/486; 34/27; 544/243,1/6; 3/32,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
21,19/6,19,19/6; 19/8; 19/12; 19/18; 19/32; 19/36; 19/48; 19/72; 19/108; 19/216; 19/288; 19/432; 19/648; 19/1296; 19/2592; 19/3888; 19/7776; 57/16; 304/243,1/2; 1/3; 1/6; 1/12; 1/18; 1/36; 1/72; 1/108; 1/216; 1/432; 1/648; 1/1296; 2; 3; 4/3; 32/81,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
22,23/9,4,23/9; 23/54; 23/324; 23/1944,1/6; 1/36; 1/216,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
23,25/12,14,25/12; 25/16; 25/18; 25/24; 25/72; 25/96; 25/108; 25/144; 25/432; 25/648; 25/864; 25/2592; 25/3888; 75/32,1/2; 1/6; 1/12; 1/36; 1/72; 1/216; 2; 3/2; 4/3,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
24,29/9,13,29/9; 29/12; 29/24; 29/54; 29/72; 29/144; 29/324; 29/432; 29/864; 29/1944; 29/2592; 58/243; 116/81,1/6; 1/16; 1/36; 1/96; 1/216; 3/8; 4/3; 9/4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
25,31/12,4,31/12; 31/72; 31/432; 31/2592,1/6; 1/36; 1/216,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
26,35/32,3,35/32; 35/81; 35/486,16/243; 32/81,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
27,35/81,3,35/81; 35/486; 70/27,1/6,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
28,37/12,18,37/12; 37/18; 37/24; 37/27; 37/36; 37/72; 37/108; 37/144; 37/162; 37/216; 37/432; 37/648; 37/864; 37/972; 37/1296; 37/2592; 37/3888; 37/7776,1/2; 1/3; 1/6; 1/12; 1/18; 1/36; 1/72; 1/108; 1/216; 1/648; 2; 3; 3/2; 9/4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
29,41/12,8,41/12; 41/72; 41/81; 41/432; 41/486; 41/2592; 82/27; 328/243,1/6; 1/36; 1/216; 32/81,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
30,41/12,10,41/12; 41/16; 41/72; 41/81; 41/96; 41/432; 41/486; 41/2592; 82/27; 328/243,1/6; 1/36; 1/216; 4/3; 32/81,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
31,43/12,16,43/12; 43/18; 43/27; 43/32; 43/36; 43/72; 43/108; 43/162; 43/216; 43/432; 43/648; 43/972; 43/1296; 43/2592; 43/3888; 43/7776,1/3; 1/6; 1/18; 1/36; 1/108; 1/216; 1/648; 3; 3/2; 3/8; 9/4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
32,43/12,17,43/12; 43/18; 43/27; 43/32; 43/36; 43/72; 43/108; 43/162; 43/216; 43/243; 43/432; 43/648; 43/972; 43/1296; 43/2592; 43/3888; 43/7776,1/3; 1/6; 1/18; 1/36; 1/108; 1/216; 1/648; 3; 3/2; 3/8; 9/4,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
33,43/12,18,43/12; 43/18; 43/27; 43/32; 43/36; 43/72; 43/108; 43/162; 43/216; 43/243; 43/432; 43/648; 43/972; 43/1296; 43/2592; 43/3888; 43/7776; 86/81,1/3; 1/6; 1/18; 1/36; 1/108; 1/216; 1/648; 3; 3/2; 3/8; 9/4; 27/8,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
34,49/16,4,49/16; 49/96; 49/243; 98/81,1/6; 16/243; 32/81,reciprocal_integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid. Non-singleton class: elements are associates within the sample.
